timestamp,year,location_name,species_name,location_id,species_id,status,filename,entries_count
2025-08-12T11:41:01.924695,2006,Auke Creek,Pacific Lamprey,1,600,NOFILE,2006-auke-creek-pacific-lamprey.json,0
2025-08-12T11:41:01.926593,2006,Auke Creek,Chinook – Late Run,1,412,NOFILE,2006-auke-creek-chinook-late-run.json,0
2025-08-12T11:41:01.931091,2006,Auke Creek,Sockeye – Early Run,1,421,NOFILE,2006-auke-creek-sockeye-early-run.json,0
2025-08-12T11:41:01.931577,2006,Auke Creek,Sockeye – Late Run,1,422,NOFILE,2006-auke-creek-sockeye-late-run.json,0
2025-08-12T11:41:01.936430,2006,Auke Creek,Pink Salmon (Humpy),1,440,NOFILE,2006-auke-creek-pink.json,0
2025-08-12T11:41:01.936637,2006,Auke Creek,Dolly Varden,1,530,NOFILE,2006-auke-creek-dollyvarden.json,0
2025-08-12T11:41:01.942413,2006,Situk River,Chinook – Late Run,5,412,NOFILE,2006-situk-river-chinook-late-run.json,0
2025-08-12T11:41:01.942762,2006,Auke Creek,Chinook – Early Run,1,411,NOFILE,2006-auke-creek-chinook-early-run.json,0
2025-08-12T11:41:01.961077,2006,Auke Creek,Coho Salmon (Silver),1,430,NOFILE,2006-auke-creek-coho.json,0
2025-08-12T11:41:01.961723,2006,Situk River,Chinook Salmon (King),5,410,SKIP,2006-situk-river-chinook.json,66
2025-08-12T11:41:01.962821,2006,Auke Creek,Steelhead Trout,1,540,NOFILE,2006-auke-creek-steelhead.json,0
2025-08-12T11:41:01.965798,2006,Auke Creek,Rainbow Trout,1,541,NOFILE,2006-auke-creek-rainbowtrout.json,0
2025-08-12T11:41:01.971472,2006,Situk River,Chinook – Early Run,5,411,NOFILE,2006-situk-river-chinook-early-run.json,0
2025-08-12T11:41:01.977703,2006,Auke Creek,Chum Salmon (Dog),1,450,NOFILE,2006-auke-creek-chum.json,0
2025-08-12T11:41:01.986265,2006,Auke Creek,Chinook Salmon (King),1,410,NOFILE,2006-auke-creek-chinook.json,0
2025-08-12T11:41:02.251134,2006,Auke Creek,Sockeye Salmon (Red),1,420,NOFILE,2006-auke-creek-sockeye.json,0
2025-08-12T11:41:02.686026,2006,Situk River,Sockeye – Early Run,5,421,NOFILE,2006-situk-river-sockeye-early-run.json,0
2025-08-12T11:41:02.697255,2006,Situk River,Sockeye – Late Run,5,422,NOFILE,2006-situk-river-sockeye-late-run.json,0
2025-08-12T11:41:02.705373,2006,Situk River,Coho Salmon (Silver),5,430,NOFILE,2006-situk-river-coho.json,0
2025-08-12T11:41:02.709067,2006,Situk River,Steelhead Trout,5,540,DOWNLOADED,2006-situk-river-steelhead.json,77
2025-08-12T11:41:02.709799,2006,Situk River,Dolly Varden,5,530,NOFILE,2006-situk-river-dollyvarden.json,0
2025-08-12T11:41:02.724699,2006,Situk River,Rainbow Trout,5,541,NOFILE,2006-situk-river-rainbowtrout.json,0
2025-08-12T11:41:02.725329,2006,Situk River,Pink Salmon (Humpy),5,440,NOFILE,2006-situk-river-pink.json,0
2025-08-12T11:41:02.729821,2006,Gulkana River,Chinook – Early Run,6,411,NOFILE,2006-gulkana-river-chinook-early-run.json,0
2025-08-12T11:41:02.731613,2006,Gulkana River,Chinook – Late Run,6,412,NOFILE,2006-gulkana-river-chinook-late-run.json,0
2025-08-12T11:41:02.738376,2006,Situk River,Pacific Lamprey,5,600,NOFILE,2006-situk-river-pacific-lamprey.json,0
2025-08-12T11:41:02.743971,2006,Situk River,Chum Salmon (Dog),5,450,NOFILE,2006-situk-river-chum.json,0
2025-08-12T11:41:02.747528,2006,Gulkana River,Sockeye – Early Run,6,421,NOFILE,2006-gulkana-river-sockeye-early-run.json,0
2025-08-12T11:41:02.777913,2006,Gulkana River,Chinook Salmon (King),6,410,SKIP,2006-gulkana-river-chinook.json,73
2025-08-12T11:41:03.026559,2006,Situk River,Sockeye Salmon (Red),5,420,SKIP,2006-situk-river-sockeye.json,66
